DatasetName,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,MeanMeansOfNumericAtts,NumAttributes,Dimensionality,PercentageOfBinaryAtts,PercentageOfNominalAtts,NumNominalAtts,PercentageOfNumericAtts,NumNumericAtts,NumBinaryAtts,ClassCount,NegativePercentage,PositivePercentage,DefaultAccuracy,IncompleteInstanceCount,InstanceCount,NumMissingValues,PercentageOfMissingValues,MeanNominalAttDistinctValues,StdvNominalAttDistinctValues,MinNominalAttDistinctValues,MaxNominalAttDistinctValues,ClassEntropy,MeanMutualInformation,NoiseToSignalRatio,MeanAttributeEntropy,EquivalentNumberOfAtts,Algorithm(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_negotiation.arff,-0.337080324,-0.286617142,14.49543217,57.52932394,6,0.065217391,0.166666667,0.166666667,1,0.666666667,4,1,2,0.717391304,0.282608696,0.717391304,17,92,26,0.047101449,2,0,2,2,0.858981037,0.007884581,125.4404223,0.996929708,108.9444162,trees.RandomForest(1): trees.FT(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_olympic2000.arff,2.275259357,7.858746776,122247.869,45455.77048,13,0.196969697,0,0.076923077,1,0.846153846,11,0,2,0.5,0.5,0.5,0,66,0,0,66,0,66,66,1,1,5.044394119,6.044394119,1,trees.FT(1): trees.LADTree(1): trees.J48(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_reviewer.arff,0,0,0,0,9,0.023746702,0,0.888888889,8,0,0,0,2,0.569920844,0.430079156,0.569920844,367,379,1368,0.401055409,50,132.9360749,3,379,0.985847205,0.138412461,14.15130689,2.097129677,7.122532155,trees.FT(1): trees.LADTree(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_runshoes.arff,0.284982791,-0.569074937,13.01904884,28.79693841,11,0.183333333,0.454545455,0.545454545,6,0.363636364,4,5,2,0.6,0.4,0.6,14,60,14,0.021212121,2.5,1.224744871,2,5,0.970950594,0.04380999,18.4723043,0.853081453,22.16276694,trees.RandomForest(1): trees.SimpleCart(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_supreme.arff,2.746630411,17.01411971,1.757793343,281.9487731,8,0.001974334,0,0,0,0.875,7,0,2,0.760365252,0.239634748,0.760365252,0,4052,0,0,-1,-1,-1,-1,0.794432351,-1,-1,-1,-1,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_uktrainacc.arff,1.011988754,1.209913834,4.935409412,8.878730511,17,0.548387097,0,0,0,0.941176471,16,0,2,0.870967742,0.129032258,0.870967742,25,31,150,0.284629981,-1,-1,-1,-1,0.554778163,-1,-1,-1,-1,trees.J48(1): trees.BFTree(2): trees.SimpleCart(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_votesurvey.arff,1.177057167,1.635766192,21206.40839,59779.89583,5,0.104166667,0.2,0.2,1,0.6,3,1,4,0.375,0.104166667,0.375,0,48,0,0,2,0,2,2,1.866401451,0.123328624,6.061332907,0.870864469,15.13356263,trees.RandomForest(1): trees.J48(2): trees.J48graft(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_whale.arff,0.210987002,0.165632686,26.23766007,48.16725015,8,0.035087719,0.125,0.125,1,0.75,6,1,2,0.504385965,0.495614035,0.504385965,5,228,15,0.008223684,2,0,2,2,0.999944494,0.899966647,0.11115229,1,1.111090614,trees.LADTree(1): trees.REPTree(1): trees.SimpleCart(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_wildcat.arff,1.157694471,3.506452203,78.13044712,82.04993061,6,0.036809816,0.333333333,0.333333333,2,0.5,3,2,2,0.711656442,0.288343558,0.711656442,0,163,0,0,2,0,2,2,0.866571888,0.093271137,9.383520083,0.968482726,9.290890128,trees.FT(1): trees.LADTree(2): trees.RandomForest(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anneal.arff,2.022468153,4.607030275,405.1732698,348.5042682,39,0.043429844,0.358974359,0.820512821,32,0.153846154,6,14,6,0.76169265,0,0.76169265,0,898,0,0,3.21875,2.059351213,2,10,-1,0.081843427,-13.21845212,-1,-12.21845212,trees.FT(1): trees.RandomForest(1): trees.RandomTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anneal.ORIG.arff,2.022468153,4.607030275,405.1732698,348.5042682,39,0.043429844,0.179487179,0.820512821,32,0.153846154,6,7,6,0.76169265,0,0.76169265,898,898,22175,0.633173434,2.3125,2.070335799,1,9,-1,0.044331969,-23.55708531,-1,-22.55708531,trees.LADTree(1): trees.RandomForest(2): trees.BFTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appendicitis.arff,0.226852281,1.179226428,0.199772012,0.417912399,8,0.075471698,0,0,0,0.875,7,0,2,0.801886792,0.198113208,0.801886792,0,106,0,0,-1,-1,-1,-1,0.718138422,-1,-1,-1,-1,trees.RandomForest(1): trees.FT(2): trees.J48graft(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar1.arff,2.210987489,7.601930006,232.2809082,119.6140182,30,0.247933884,0,0,0,0.966666667,29,0,2,0.925619835,0.074380165,0.925619835,0,121,0,0,-1,-1,-1,-1,0.382060954,-1,-1,-1,-1,trees.REPTree(1): trees.SimpleCart(1): trees.J48(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar3.arff,2.440192888,7.838991893,2669.015554,1335.099676,30,0.476190476,0,0,0,0.966666667,29,0,2,0.873015873,0.126984127,0.873015873,0,63,0,0,-1,-1,-1,-1,0.549108745,-1,-1,-1,-1,trees.J48graft(1): trees.RandomForest(2): trees.FT(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar4.arff,3.294663048,17.28259306,1490.807532,594.8054013,30,0.280373832,0,0,0,0.966666667,29,0,2,0.813084112,0.186915888,0.813084112,0,107,0,0,-1,-1,-1,-1,0.694974967,-1,-1,-1,-1,trees.FT(1): trees.RandomForest(2): trees.LADTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar5.arff,2.074143899,5.398154206,2137.525835,1162.289706,30,0.833333333,0,0,0,0.966666667,29,0,2,0.777777778,0.222222222,0.777777778,0,36,0,0,-1,-1,-1,-1,0.764204507,-1,-1,-1,-1,trees.BFTree(1): trees.FT(2): trees.LADTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsenic-female-bladder.arff,3.360839281,34.45533914,60409.70023,7930.94842,5,0.008944544,0,0.2,1,0.6,3,0,2,0.856887299,0.143112701,0.856887299,0,559,0,0,43,0,43,43,0.592333003,0.149247681,35.35744772,5.426264755,3.968792007,trees.FT(1): trees.RandomForest(2): trees.RandomTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsenic-female-lung.arff,3.360839281,34.45533914,60409.70023,7930.94842,5,0.008944544,0,0.2,1,0.6,3,0,2,0.966010733,0.033989267,0.966010733,0,559,0,0,43,0,43,43,0.21401924,0.163220253,32.24504565,5.426264755,1.311229681,trees.FT(1): trees.REPTree(1): trees.SimpleCart(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsenic-male-bladder.arff,3.343803815,33.86815839,69566.87171,9034.430829,5,0.008944544,0,0.2,1,0.6,3,0,2,0.95706619,0.04293381,0.95706619,0,559,0,0,43,0,43,43,0.255585567,0.16846479,31.21008238,5.426264755,1.517145317,trees.BFTree(1): trees.FT(1): trees.LADTree(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arsenic-male-lung.arff,3.343803815,33.86815839,69566.87171,9034.430829,5,0.008944544,0,0.2,1,0.6,3,0,2,0.976744186,0.023255814,0.976744186,0,559,0,0,43,0,43,43,0.159350063,0.159350063,33.05247957,5.426264755,1,trees.BFTree(1): trees.FT(1): trees.LADTree(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audiology (binary version of audiology).arff.arff,0,0,0,0,70,0.309734513,0.871428571,0.985714286,69,0,0,61,2,0.747787611,0.252212389,0.747787611,222,226,317,0.020037927,2.231884058,0.750390634,2,6,0.814765885,0.02238773,13.20936223,0.318115372,36.39341137,trees.BFTree(1): trees.J48(1): trees.RandomForest(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australian.arff.arff,1.67263472,21.09755875,386.8334426,90.08558282,15,0.02173913,0,0,0,0.933333333,14,0,2,0.555072464,0.444927536,0.555072464,0,690,0,0,-1,-1,-1,-1,0.991230899,-1,-1,-1,-1,trees.RandomForest(1): trees.BFTree(2): trees.LADTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automobile.arff,0.718025733,1.063166839,464.0198869,1321.492377,26,0.163522013,0.115384615,0.384615385,10,0.576923077,15,3,6,0.301886792,0.018867925,0.301886792,0,159,0,0,6,6.110100927,2,22,2.266702675,0.274046695,-4.649013179,-1,8.271227932,trees.RandomForest(1): trees.J48(2): trees.FT(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoMpg.arff,0.650894342,-0.125024872,248.0901153,820.9719952,8,0.020100503,0,0.375,3,0.5,4,0,2,0.525125628,0.474874372,0.525125628,6,398,6,0.001884422,7,5.291502622,3,13,0.998177694,0.334814736,5.581220074,2.20348946,2.98128364,trees.RandomForest(1): trees.BFTree(2): trees.FT(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autos.arff,0.791631896,1.274879496,606.9879338,1447.091008,26,0.126829268,0.153846154,0.384615385,10,0.576923077,15,4,7,0.326829268,0,0.326829268,46,205,59,0.011069418,6,6.110100927,2,22,-1,0.287392527,3.845559845,1.392577687,-3.479561601,trees.RandomForest(1): trees.J48(2): trees.J48graft(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoUniv-au6-1000.arff,-0.045750354,-0.799104459,1354.844394,4239.04982,41,0.041,0.048780488,0.073170732,3,0.902439024,37,2,8,0.24,0.089,0.24,0,1000,0,0,2.333333333,0.577350269,2,3,2.921602662,0.005513369,215.6673218,1.194566934,529.9123944,trees.LADTree(1): trees.REPTree(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoUniv-au7-1100.arff,0.062725156,-1.381384983,210.2407197,1061.532926,13,0.011818182,0.153846154,0.307692308,4,0.615384615,8,2,5,0.277272727,0.139090909,0.277272727,0,1100,0,0,2.5,0.577350269,2,3,2.280659515,0.051383364,21.57110209,1.159779161,44.38517303,trees.RandomForest(1): trees.REPTree(2): trees.J48graft(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoUniv-au7-700.arff,0.006331447,-1.314341889,201.1656111,1053.522677,13,0.018571429,0.153846154,0.307692308,4,0.615384615,8,2,3,0.35,0.305714286,0.35,0,700,0,0,2.5,0.577350269,2,3,1.582416026,0.004715225,227.4330934,1.077113503,335.5971183,trees.SimpleCart(1): trees.RandomForest(2): trees.REPTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backache.arff,0.416723695,0.523188286,13.27918895,41.94409259,33,0.183333333,0.666666667,0.787878788,26,0.181818182,6,22,2,0.861111111,0.138888889,0.861111111,0,180,0,0,2.730769231,1.991134196,2,10,0.581321499,0.016126882,43.27803835,0.714066694,36.04673879,trees.RandomForest(1): trees.SimpleCart(1): trees.REPTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
badges2.arff,0.905792251,0.820116533,11.58639053,22.3042602,12,0.040816327,0.25,0.25,3,0.666666667,8,3,2,0.714285714,0.285714286,0.714285714,0,294,0,0,2,0,2,2,0.863120569,0.327800254,1.342946431,0.768018435,2.633068638,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balance-scale.arff,0,-1.30272,1.415346293,3,5,0.008,0,0,0,0.8,4,0,3,0.4608,0.0784,0.4608,0,625,0,0,-1,-1,-1,-1,1.318116246,-1,-1,-1,-1,trees.FT(1): trees.RandomForest(2): trees.LADTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balloon.arff,-1.456712734,7.855287471,288.9785514,501.547901,3,0.00149925,0,0,0,0.666666667,2,0,2,0.75912044,0.24087956,0.75912044,0,2001,0,0,-1,-1,-1,-1,0.7964999,-1,-1,-1,-1,trees.J48(1): trees.J48graft(1): trees.RandomForest(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana.arff,0.097243736,-0.845031891,0.999959195,1.67E-05,3,5.66E-04,0,0,0,0.666666667,2,0,2,0.551698113,0.448301887,0.551698113,0,5300,0,0,-1,-1,-1,-1,0.992274433,-1,-1,-1,-1,trees.FT(1): trees.J48(1): trees.J48graft(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bands.arff,1.019288099,21.66963835,20.91080252,129.1472833,20,0.054794521,0,0,0,0.95,19,0,2,0.630136986,0.369863014,0.630136986,0,365,0,0,-1,-1,-1,-1,0.950566853,-1,-1,-1,-1,trees.RandomForest(1): trees.J48graft(2): trees.LADTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank32nh - 1956.arff,0.588872546,0.682205544,0.972391119,1.213289231,33,0.017205422,0,0,0,0.96969697,32,0,2,0.683003128,0.316996872,0.683003128,0,1918,0,0,-1,-1,-1,-1,0.90108572,-1,-1,-1,-1,trees.LADTree(1): trees.RandomForest(2): trees.FT(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank8FM.arff,0.46929371,0.695349178,1.08274005,1.654425211,9,0.001098633,0,0,0,0.888888889,8,0,2,0.596313477,0.403686523,0.596313477,0,8192,0,0,-1,-1,-1,-1,0.973066266,-1,-1,-1,-1,trees.FT(1): trees.RandomForest(1): trees.J48graft(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banknote-authentication.arff,-0.119117525,0.137609004,3.780713139,0.640514743,5,0.003644315,0,0,0,0.8,4,0,2,0.555393586,0.444606414,0.555393586,0,1372,0,0,-1,-1,-1,-1,0.991128126,-1,-1,-1,-1,trees.FT(1): trees.J48(2): trees.RandomForest(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baskball.arff,-0.133856268,0.164472797,4.741660677,60.93006172,5,0.052083333,0,0,0,0.8,4,0,2,0.510416667,0.489583333,0.510416667,0,96,0,0,-1,-1,-1,-1,0.999686892,-1,-1,-1,-1,trees.RandomForest(1): trees.SimpleCart(2): trees.LADTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-breast-cancer-data.arff,0,0,0,0,10,0.034965035,0.3,0.9,9,0,0,3,2,0.702797203,0.297202797,0.702797203,9,286,9,0.003146853,5.666666667,4.472135955,2,13,0.877844695,0.033749015,-30.63049459,-1,26.01097249,trees.J48(1): trees.J48graft(1): trees.LADTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomed.arff,1.577058547,7.138276258,4234.914878,9607.61853,9,0.043062201,0,0.111111111,1,0.777777778,7,0,2,0.641148325,0.358851675,0.641148325,15,209,15,0.007974482,7,0,7,7,0.941725863,0.024671834,62.65202963,1.570412289,38.17007989,trees.RandomForest(1): trees.LADTree(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blogger.arff,0,0,0,0,6,0.06,0.333333333,0.833333333,5,0,0,2,2,0.68,0.32,0.68,0,100,0,0,3,1.224744871,2,5,0.904381458,0.04914303,25.26608281,1.29079489,18.4030464,trees.FT(1): trees.RandomTree(2): trees.RandomForest(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blood-transfusion-service-center.arff.arff,2.257060093,10.13069883,374.5345495,356.9949866,5,0.006684492,0,0,0,0.8,4,0,2,0.762032086,0.237967914,0.762032086,0,748,0,0,-1,-1,-1,-1,0.79164463,-1,-1,-1,-1,trees.J48(1): trees.J48graft(1): trees.BFTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bodyfat.arff,0.25469399,6.586257416,6.415272137,59.03975471,15,0.05952381,0,0,0,0.933333333,14,0,2,0.507936508,0.492063492,0.507936508,0,252,0,0,-1,-1,-1,-1,0.999818247,-1,-1,-1,-1,trees.J48(1): trees.J48graft(1): trees.RandomForest(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolts.arff,0.039881846,-1.043012507,9.587091401,12.96957143,8,0.2,0,0,0,0.875,7,0,2,0.65,0.35,0.65,0,40,0,0,-1,-1,-1,-1,0.934068055,-1,-1,-1,-1,trees.RandomForest(1): trees.LADTree(2): trees.FT(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boston.arff,0.649539922,4.255557718,30.81776408,81.94027223,14,0.027667984,0.071428571,0.142857143,2,0.785714286,11,1,2,0.586956522,0.413043478,0.586956522,0,506,0,0,5.5,4.949747468,2,9,0.978070971,0.068843014,21.51073921,1.549707139,14.20726536,trees.RandomForest(1): trees.FT(2): trees.BFTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boston_corrected.arff,0.45684451,2.748317987,112.0113483,229.7822938,21,0.041501976,0.047619048,0.142857143,3,0.80952381,17,1,2,0.559288538,0.440711462,0.559288538,0,506,0,0,34.33333333,50.06329327,2,92,0.989833574,0.258901009,10.70953591,3.03161066,3.823212503,trees.FT(1): trees.RandomForest(1): trees.LADTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast-cancer.arff,0,0,0,0,10,0.034965035,0.3,0.9,9,0,0,3,2,0.702797203,0.297202797,0.702797203,9,286,9,0.003146853,5.666666667,4.472135955,2,13,0.877844695,0.033749015,-30.63049459,-1,26.01097249,trees.J48(1): trees.J48graft(1): trees.LADTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breastTumor.arff,-0.007075929,-0.637067068,9.723703564,50.93706294,10,0.034965035,0.4,0.8,8,0.1,1,4,2,0.58041958,0.41958042,0.58041958,9,286,9,0.003146853,4.625,5.501623137,2,18,0.98125799,0.028553359,45.53958315,1.328861425,34.36576377,trees.LADTree(1): trees.FT(2): trees.REPTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridges_version1.arff,0.944384082,1.19081723,261.9983876,1158.444405,13,0.121495327,0.153846154,0.692307692,9,0.230769231,3,2,6,0.411214953,0.093457944,0.411214953,37,107,73,0.05248023,20.33333333,36.95605498,2,108,2.323652649,0.705688141,-2.417056546,-1,3.292747197,trees.LADTree(1): trees.FT(2): trees.J48graft(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridges_version2.arff,0,0,0,0,13,0.121495327,0.153846154,0.923076923,12,0,0,2,6,0.411214953,0.093457944,0.411214953,37,107,73,0.05248023,16.16666667,32.40604134,2,108,2.323652649,0.621878969,-2.608029937,-1,3.736503023,trees.FT(1): trees.LADTree(2): trees.J48graft(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bupa.arff,1.678830521,6.43156857,15.8275034,42.80289855,7,0.020289855,0,0,0,0.857142857,6,0,2,0.579710145,0.420289855,0.579710145,0,345,0,0,-1,-1,-1,-1,0.981588621,-1,-1,-1,-1,trees.RandomForest(1): trees.FT(2): trees.LADTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
car.arff,0,0,0,0,7,0.004050926,0,0.857142857,6,0,0,0,4,0.700231481,0.037615741,0.700231481,0,1728,0,0,3.5,0.547722558,3,4,1.20574097,0.114415682,14.6663948,1.79248125,10.53824918,trees.BFTree(1): trees.SimpleCart(1): trees.FT(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
